Date,Day,Working
12-1-2020,Tuesday,W
12-2-2020,Wednesday,W
12-3-2020,Thursday,W
12-4-2020,Friday,W
12-5-2020,Saturday,H
12-6-2020,Sunday,H
12-7-2020,Monday,W
12-8-2020,Tuesday,W
12-9-2020,Wednesday,W
12-10-2020,Thursday,W
12-11-2020,Friday,W
12-12-2020,Saturday,H
12-13-2020,Sunday,H
12-14-2020,Monday,W
12-15-2020,Tuesday,W
12-16-2020,Wednesday,W
12-17-2020,Thursday,W
12-18-2020,Friday,W
12-19-2020,Saturday,H
12-20-2020,Sunday,H
12-21-2020,Monday,W
12-22-2020,Tuesday,W
12-23-2020,Wednesday,W
12-24-2020,Thursday,W
12-25-2020,Friday,H
12-26-2020,Saturday,H
12-27-2020,Sunday,H
12-28-2020,Monday,W
12-29-2020,Tuesday,W
12-30-2020,Wednesday,W
12-31-2020,Thursday,W
1-1-2021,Friday,H
1-2-2021,Saturday,H
1-3-2021,Sunday,H
1-4-2021,Monday,W
1-5-2021,Tuesday,W
1-6-2021,Wednesday,W
1-7-2021,Thursday,W
1-8-2021,Friday,W
1-9-2021,Saturday,H
1-10-2021,Sunday,H
1-11-2021,Monday,W
1-12-2021,Tuesday,W
1-13-2021,Wednesday,W
1-14-2021,Thursday,H
1-15-2021,Friday,H
1-16-2021,Saturday,H
1-17-2021,Sunday,H
1-18-2021,Monday,W
1-19-2021,Tuesday,W
1-20-2021,Wednesday,W
1-21-2021,Thursday,W
1-22-2021,Friday,W
1-23-2021,Saturday,H
1-24-2021,Sunday,H
1-25-2021,Monday,W
1-26-2021,Tuesday,H
1-27-2021,Wednesday,W
1-28-2021,Thursday,W
1-29-2021,Friday,W
1-30-2021,Saturday,H
1-31-2021,Sunday,H
2-1-2021,Monday,W
2-2-2021,Tuesday,W
2-3-2021,Wednesday,W
2-4-2021,Thursday,W
2-5-2021,Friday,W
2-6-2021,Saturday,H
2-7-2021,Sunday,H
2-8-2021,Monday,W
2-9-2021,Tuesday,W
2-10-2021,Wednesday,W
2-11-2021,Thursday,W
2-12-2021,Friday,W
2-13-2021,Saturday,H
2-14-2021,Sunday,H
2-15-2021,Monday,W
